"set","pic_id","sample_size","test_param","param_value","p_value","obs_plot_location","pic_name","experiment","difficulty","data_name"
2,2,5,"turk16-colorShapeEllipse","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-trend","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-trendError","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-colorTrend","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
2,2,5,"turk16-colorEllipseTrendError","k-5-sdline-0.35-sdgroup-0.25","line-0.75566-cluster-0.92306","19, 17","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",2,"set-1-k-5-sdline-0.35-sdgroup-0.25"
3,3,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
3,3,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.35","line-0.77106-cluster-0.84640","16, 14","Images/Lineups/388ca0ec847e881a188e345b8c0f4637.svg","turk16",3,"set-1-k-3-sdline-0.35-sdgroup-0.35"
4,4,3,"turk16-plain","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-color","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-shape","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-colorShape","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-colorEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-colorShapeEllipse","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-trend","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-trendError","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-colorTrend","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
4,4,3,"turk16-colorEllipseTrendError","k-3-sdline-0.35-sdgroup-0.25","line-0.75641-cluster-0.92207","12, 10","Images/Lineups/74c332825bffeb00aa4bd8a78aab656e.svg","turk16",4,"set-1-k-3-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-plain","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-color","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-shape","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-colorShape","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-colorEllipse","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-colorShapeEllipse","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-trend","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-trendError","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-colorTrend","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
5,5,5,"turk16-colorEllipseTrendError","k-5-sdline-0.35-sdgroup-0.25","line-0.74167-cluster-0.93456","11, 15","Images/Lineups/705c7dd1c3be78b00f4465acb8577e42.svg","turk16",5,"set-1-k-5-sdline-0.35-sdgroup-0.25"
6,6,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
6,6,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.25","line-0.84750-cluster-0.90833","6, 19","Images/Lineups/3f5ecac47a6bd741c871c9e20e768340.svg","turk16",6,"set-1-k-3-sdline-0.25-sdgroup-0.25"
7,7,5,"turk16-plain","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-color","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-shape","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-colorShape","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-colorEllipse","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-colorShapeEllipse","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-trend","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-trendError","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-colorTrend","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
7,7,5,"turk16-colorEllipseTrendError","k-5-sdline-0.35-sdgroup-0.20","line-0.77160-cluster-0.95767","10, 12","Images/Lineups/5855815e57deb6ffd9c8efb0597d151c.svg","turk16",7,"set-1-k-5-sdline-0.35-sdgroup-0.20"
8,8,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
8,8,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.25","line-0.62898-cluster-0.91598","6, 13","Images/Lineups/309668220b6f72f0bc4404e5e45c04cd.svg","turk16",8,"set-1-k-3-sdline-0.45-sdgroup-0.25"
9,9,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
9,9,3,"turk16-colorEllipseTrendError","k-3-sdline-0.25-sdgroup-0.35","line-0.87326-cluster-0.86204","15, 17","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",9,"set-1-k-3-sdline-0.25-sdgroup-0.35"
10,10,3,"turk16-plain","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-color","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-shape","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-colorShape","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-colorEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-colorShapeEllipse","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-trend","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-trendError","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-colorTrend","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
10,10,3,"turk16-colorEllipseTrendError","k-3-sdline-0.45-sdgroup-0.30","line-0.68881-cluster-0.89821","9, 3","Images/Lineups/7f17f8c126b543dbd1e195e4432fcbe1.svg","turk16",10,"set-1-k-3-sdline-0.45-sdgroup-0.30"
11,11,3,"turk16-plain","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-color","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-shape","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-colorShape","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-colorEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-colorShapeEllipse","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-trend","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-trendError","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
11,11,3,"turk16-colorTrend","k-3-sdline-0.25-sdgroup-0.35","line-0.86868-cluster-0.86650","11, 2","Images/Lineups/b4943c9b1f1cd3504c39a4b014c2d30b.svg","turk16",11,"set-1-k-3-sdline-0.25-sdgroup-0.35"
