dataset,pic_id,param_value,response.id,n.answers,response_no,conf_level,choice_reason,test_param,p_value,obs_plot,plottype,ntrials,trial.no,trial.num,trend.correct,cluster.correct,both.correct,neither.correct,first.trial,simpleoutcome,trial.time,k,sdline,sdgroup,gini.min,group.min,no.ellipse,max.range,one.correct,one.ellipse,label
1,6,k-3-sdline-0.25-sdgroup-0.25,5558,1,20,5,_strong,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,10,10,1,0,0,0,FALSE,trend,48,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,1163,1,12,5,_Most red points are missing,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,3,3,0,0,0,1,FALSE,neither,37,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,1125,1,20,4,_strong linear trend,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,7,7,1,0,0,0,FALSE,trend,12,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,808,1,20,5,_,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,9,9,1,0,0,0,FALSE,trend,8,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,4224,2,"11,20",4,"_group of points, strong linear correlation",turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,6,6,1,1,1,0,FALSE,both,23,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,7385,1,16,3,_Pattern,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,4,4,0,0,0,1,FALSE,neither,37,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,7575,1,20,5,_STRONGEST LINEAR,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,1,1,1,0,0,0,TRUE,trend,31,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,11995,1,12,4,_Most scattered,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,5,5,0,0,0,1,FALSE,neither,32,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,4479,1,20,0,_all stretched and connecting,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,3,3,1,0,0,0,FALSE,trend,35,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape + Ellipse
1,6,k-3-sdline-0.25-sdgroup-0.25,4054,1,16,5,_very little yellow,turk16-colorShapeEllipse,line-0.87002-cluster-0.91041,"20, 11",colorShapeEllipse,10,8,8,0,0,0,1,FALSE,neither,21,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape + Ellipse
1,7,k-3-sdline-0.25-sdgroup-0.25,1038,1,20,3,_linear,turk16-trend,line-0.87002-cluster-0.91041,"20, 11",trend,10,10,10,1,0,0,0,FALSE,trend,39,3,0.25,0.25,0.72,1,1,27,1,TRUE,Trend
1,7,k-3-sdline-0.25-sdgroup-0.25,343,1,20,5,_strong linear trend,turk16-trend,line-0.87002-cluster-0.91041,"20, 11",trend,10,10,10,1,0,0,0,FALSE,trend,97,3,0.25,0.25,0.72,1,1,27,1,TRUE,Trend
1,4,k-3-sdline-0.25-sdgroup-0.25,10615,1,20,0,_clear diagonal line,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,12,9,9,1,0,0,0,FALSE,trend,46,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,10468,1,11,4,_most isolated,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,9,9,0,1,0,0,FALSE,cluster,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,12313,1,11,3,_small groups,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,5,5,0,1,0,0,FALSE,cluster,12,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,6016,1,16,4,_There are barely any yellow plots,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,2,2,0,0,0,1,FALSE,neither,36,3,0.25,0.25,0.72,1,1,27,0,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,9363,1,11,4,_Clusters,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,6,6,0,1,0,0,FALSE,cluster,60,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,452,1,20,5,_,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,8,8,1,0,0,0,FALSE,trend,9,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,12758,1,20,5,_,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,5,5,1,0,0,0,FALSE,trend,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,2647,1,20,3,_Linear,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,3,3,1,0,0,0,FALSE,trend,44,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,12122,1,11,2,_stands out the most,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,8,8,0,1,0,0,FALSE,cluster,22,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,11908,1,11,5,_this one has 3 clusters,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,3,3,0,1,0,0,FALSE,cluster,40,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,5281,1,20,5,_most linear,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,8,8,1,0,0,0,FALSE,trend,21,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,8418,1,20,5,_Straight line,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,11,2,2,1,0,0,0,FALSE,trend,26,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,5574,1,20,4,_Almost linear,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,11,4,4,1,0,0,0,FALSE,trend,32,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,4,k-3-sdline-0.25-sdgroup-0.25,5112,1,20,3,_,turk16-colorShape,line-0.87002-cluster-0.91041,"20, 11",colorShape,10,10,10,1,0,0,0,FALSE,trend,10,3,0.25,0.25,0.72,1,1,27,1,TRUE,Color + Shape
1,3,k-3-sdline-0.25-sdgroup-0.25,113,1,4,4,_Spaced further apart,turk16-shape,line-0.87002-cluster-0.91041,"20, 11",shape,11,6,6,0,0,0,1,FALSE,neither,58,3,0.25,0.25,0.72,1,1,27,0,TRUE,Shape
1,3,k-3-sdline-0.25-sdgroup-0.25,1195,1,11,5,_less linear,turk16-shape,line-0.87002-cluster-0.91041,"20, 11",shape,10,9,9,0,1,0,0,FALSE,cluster,11,3,0.25,0.25,0.72,1,1,27,1,TRUE,Shape
